wave,inten,std
6079.568,18551.044,43.238
6083.936,18374.591,43.032
6088.305,18431.677,43.103
6092.673,18283.644,42.943
6097.041,18435.054,43.091
6101.409,18144.429,42.782
6105.777,18386.654,43.064
6110.145,18093.401,42.707
6114.512,18042.418,42.662
6118.879,18103.691,42.737
6123.247,17951.525,42.541
6127.613,18002.066,42.603
6131.980,17832.954,42.434
6136.347,17952.325,42.545
6140.713,17790.359,42.328
6145.080,17743.720,42.303
6149.446,17653.264,42.180
6153.812,17688.682,42.238
6158.178,17716.125,42.272
6162.544,17562.776,42.077
6166.909,17625.596,42.154
6171.275,17530.970,42.042
6175.640,17617.423,42.138
6180.005,17633.992,42.144
6184.370,17554.287,42.052
6188.735,17477.347,41.982
6193.100,17422.280,41.880
6197.465,17425.932,41.896
6201.829,17272.577,41.732
6206.194,17332.086,41.788
6210.558,17376.389,41.853
6214.922,17295.767,41.747
6219.286,17159.452,41.582
6223.650,17120.608,41.540
6228.014,17072.787,41.479
6232.377,17061.622,41.441
6236.741,16984.257,41.355
6241.104,16776.002,41.114
6245.468,16861.583,41.202
6249.831,16848.843,41.199
6254.194,16706.968,41.018
6258.557,16659.678,40.964
6262.920,16580.207,40.871
6267.283,16561.424,40.870
6271.646,16278.819,40.504
6276.008,16019.311,40.166
6280.371,15696.672,39.775
6284.733,15644.962,39.706
6289.095,15891.854,40.010
6293.458,15718.031,39.792
6297.820,15859.610,39.980
6302.182,15898.224,40.035
6306.544,15876.000,40.007
6310.906,15787.981,39.881
6315.267,15910.020,40.034
6319.629,15966.453,40.109
6323.991,15948.009,40.087
6328.352,15982.096,40.121
6332.714,15937.971,40.080
6337.075,15872.342,39.994
6341.437,15890.530,40.032
6345.798,15829.580,39.935
6350.159,15783.594,39.878
6354.520,15775.226,39.862
6358.881,15825.924,39.932
6363.242,15810.010,39.924
6367.603,15775.647,39.859
6371.964,15547.112,39.577
6376.325,15631.600,39.677
6380.686,15593.235,39.637
6385.047,15697.040,39.763
6389.407,15610.946,39.667
6393.768,15633.383,39.705
6398.128,15467.549,39.480
6402.489,15438.793,39.451
6406.849,15282.711,39.249
6411.210,15500.253,39.515
6415.570,15267.271,39.224
6419.931,15310.121,39.270
6424.291,15266.566,39.216
6428.651,15350.191,39.318
6433.011,15187.676,39.104
6437.372,15109.535,39.015
6441.732,15019.751,38.908
6446.092,14952.711,38.815
6450.452,14977.698,38.831
6454.812,14793.688,38.602
6459.172,14648.086,38.431
6463.532,14711.253,38.478
6467.893,14558.968,38.294
6472.253,14576.029,38.311
6476.613,14426.481,38.121
6480.973,14357.555,38.029
6485.333,14407.476,38.096
6489.693,14458.744,38.162
6494.053,14447.072,38.154
6498.413,14356.461,38.015
6502.772,14467.074,38.173
6507.132,14422.857,38.120
6511.492,14289.294,37.951
6515.852,14264.344,37.910
6520.212,14189.524,37.818
6524.572,14264.779,37.897
6528.932,14258.687,37.892
6533.292,14091.799,37.675
6537.652,13872.289,37.382
6542.012,13616.561,37.054
6546.372,13199.738,36.490
6550.732,12803.705,35.931
6555.092,12183.906,35.040
6559.452,11444.603,33.990
6563.812,10874.830,33.116
6568.173,10848.710,33.098
6572.533,11850.705,34.570
6576.893,12777.892,35.909
6581.253,13120.920,36.376
6585.613,13389.354,36.721
6589.973,13440.976,36.803
6594.334,13545.863,36.941
6598.694,13558.651,36.954
