wave,inten,std
6236.741,91.193,1.615
6241.104,84.008,1.620
6245.468,98.001,1.651
6249.831,91.642,1.594
6254.194,85.617,1.615
6258.557,88.386,1.617
6262.920,93.929,1.630
6267.283,92.467,1.614
6271.646,96.718,1.615
6276.008,86.338,1.563
6280.371,85.331,1.543
6284.733,89.237,1.542
6289.095,87.900,1.554
6293.458,88.631,1.591
6297.820,94.069,1.596
6302.182,103.356,1.632
6306.544,102.871,1.669
6310.906,114.240,1.705
6315.267,112.921,1.684
6319.629,99.760,1.576
6323.991,96.175,1.549
6328.352,88.677,1.542
6332.714,82.899,1.513
6337.075,85.554,1.512
6341.437,89.524,1.525
6345.798,88.097,1.494
6350.159,84.466,1.493
6354.520,84.718,1.486
6358.881,88.679,1.489
6363.242,90.404,1.511
6367.603,91.922,1.509
6371.964,89.607,1.505
6376.325,83.462,1.473
6380.686,88.513,1.492
6385.047,93.557,1.513
6389.407,88.137,1.491
6393.768,89.363,1.471
6398.128,89.316,1.470
6402.489,87.514,1.452
6406.849,84.847,1.459
6411.210,83.005,1.445
6415.570,81.375,1.431
6419.931,89.799,1.465
6424.291,83.922,1.428
6428.651,84.987,1.421
6433.011,87.111,1.429
6437.372,86.834,1.416
6441.732,90.551,1.427
6446.092,79.266,1.404
6450.452,76.450,1.395
6454.812,90.880,1.434
6459.172,89.465,1.431
6463.532,86.649,1.431
6467.893,78.722,1.391
6472.253,84.153,1.394
6476.613,84.711,1.399
6480.973,81.801,1.390
6485.333,79.597,1.387
6489.693,84.542,1.402
6494.053,87.561,1.434
6498.413,88.854,1.411
6502.772,83.430,1.418
6507.132,87.940,1.406
6511.492,83.604,1.402
6515.852,90.091,1.399
6520.212,84.520,1.378
6524.572,94.755,1.456
6528.932,105.711,1.524
6533.292,154.426,1.778
6537.652,270.381,2.253
6542.012,561.175,3.146
6546.372,1153.128,4.450
6550.732,2064.883,5.916
6555.092,3283.151,7.443
6559.452,4981.598,9.151
6563.812,7262.232,11.035
